ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2026-01-01T15:30:12Z,ios,4087,LT,78.56.209.202,L'amore dice Ciao (Main Titles) - Remastered,Armando Trovajoli,La Matriarca - The Libertine (Original Motion Picture Soundtrack),spotify:track:03KBBkHF2vaeRol4Qt3ccX,,,,,,,,appload,endplay,True,True,False,1767281405,False
2026-01-01T15:30:13Z,ios,1045,LT,78.56.209.202,ATTENTION! (feat. Sizzy Rocket),Kesha,ATTENTION! (SMASH FEATURES),spotify:track:4dToYNMQBJwoTVplQ025IJ,,,,,,,,playbtn,endplay,False,True,False,1767281412,False
2026-01-01T15:31:37Z,ios,83824,LT,78.56.209.202,Cell Block Tango,Catherine Zeta-Jones,Music From The Miramax Motion Picture Chicago,spotify:track:6ig2r8kFzCLLRbF6t7cli3,,,,,,,,clickrow,endplay,False,True,False,1767281413,False
2026-01-01T15:31:37Z,ios,186,LT,78.56.209.202,Is It a Crime,Sade,Promise,spotify:track:1XR1X1VTyTOVdPgH18RdME,,,,,,,,clickrow,endplay,True,True,False,1767281497,False
2026-01-01T15:32:25Z,ios,46974,LT,78.56.209.202,Intergalactic Janet,Ley Soul,Intergalactic Janet,spotify:track:4dTnTDOvYrY9eMU9ZPOdMt,,,,,,,,clickrow,endplay,True,True,False,1767281497,False
2026-01-01T15:33:16Z,ios,51293,LT,78.56.209.202,The End of the Line,Neil Bartram,The Theory of Relativity (Original Cast Recording),spotify:track:57qreWl3rvlWG7AUHwXcI5,,,,,,,,clickrow,fwdbtn,True,True,False,1767281545,False
2026-01-01T15:33:17Z,ios,1254,LT,78.56.209.202,Guys Dont Like Me,It Boys!,Introduction,spotify:track:04OzTY1aR3ddOvyzHORSIh,,,,,,,,fwdbtn,fwdbtn,True,True,False,1767281596,False
2026-01-01T15:33:19Z,ios,952,LT,78.56.209.202,Lights Out,Mindless Self Indulgence,If,spotify:track:7L7AJb57lJH6YpnANgCDO6,,,,,,,,fwdbtn,fwdbtn,True,True,False,1767281597,False
2026-01-01T15:33:20Z,ios,1602,LT,78.56.209.202,Bernadette,IAMX,Bernadette,spotify:track:43C4RgVHrAGuEtz9uRl93u,,,,,,,,fwdbtn,fwdbtn,True,True,False,1767281599,False
2026-01-01T15:33:21Z,ios,766,LT,78.56.209.202,Insomniac,Memo Boy,Songs & Demos 2015-2017,spotify:track:2klj0StczYde6WUHBJo5F6,,,,,,,,fwdbtn,fwdbtn,True,True,False,1767281600,False
2026-01-01T15:33:22Z,ios,998,LT,78.56.209.202,4 Morant (Better Luck Next Time),Com Truise,Brokendate,spotify:track:3XOmSRuEEq7rK4XNzWQdyT,,,,,,,,fwdbtn,fwdbtn,True,True,False,1767281601,False
2026-01-01T15:33:25Z,ios,2601,LT,78.56.209.202,Dirty Harry (feat. Bootie Brown),Gorillaz,Demon Days,spotify:track:2bfGNzdiRa1jXZRdfssSzR,,,,,,,,fwdbtn,fwdbtn,True,True,False,1767281602,False
2026-01-01T15:33:26Z,ios,1091,LT,78.56.209.202,Messages from the Stars,The Rah Band,Going Up,spotify:track:6lYY2HktYKpV1pUamfRlU1,,,,,,,,fwdbtn,fwdbtn,True,True,False,1767281605,False
2026-01-01T15:33:28Z,ios,1254,LT,78.56.209.202,Love Drought,Beyoncé,Lemonade,spotify:track:2RQAG0wQt35UzAPEyVJFWN,,,,,,,,fwdbtn,fwdbtn,True,True,False,1767281606,False
2026-01-01T15:33:29Z,ios,1091,LT,78.56.209.202,Meddle About,Chase Atlantic,Meddle About,spotify:track:5fVl28RgREvxVtGSf9OsbK,,,,,,,,fwdbtn,backbtn,True,True,False,1767281608,False
2026-01-01T15:33:43Z,ios,13700,LT,78.56.209.202,Love Drought,Beyoncé,Lemonade,spotify:track:2RQAG0wQt35UzAPEyVJFWN,,,,,,,,backbtn,fwdbtn,True,True,False,1767281609,False
2026-01-01T15:33:44Z,ios,1091,LT,78.56.209.202,Meddle About,Chase Atlantic,Meddle About,spotify:track:5fVl28RgREvxVtGSf9OsbK,,,,,,,,fwdbtn,fwdbtn,True,True,False,1767281623,False
2026-01-01T15:33:45Z,ios,1416,LT,78.56.209.202,Daisy Chain,The Neighbourhood,(((((ultraSOUND))))),spotify:track:5qyd8En32ATikqQ9w69FXR,,,,,,,,fwdbtn,fwdbtn,True,True,False,1767281624,False
2026-01-01T15:33:47Z,ios,1068,LT,78.56.209.202,Bitch I'm Madonna,Madonna,Rebel Heart,spotify:track:2bZMOs3RjmhhGca6MEzjyl,,,,,,,,fwdbtn,fwdbtn,True,True,False,1767281625,False
2026-01-01T15:33:48Z,ios,859,LT,78.56.209.202,Oh No!,MARINA,The Family Jewels,spotify:track:4sNwdacKyi2S26WrRtNama,,,,,,,,fwdbtn,fwdbtn,True,True,False,1767281627,False
2026-01-01T15:33:49Z,ios,1091,LT,78.56.209.202,King For A Day,Pierce The Veil,Collide With The Sky,spotify:track:1IT0WQk5J8NsaeII8ktdlZ,,,,,,,,fwdbtn,fwdbtn,True,True,False,1767281628,False
